state_name,cd,geo_name,federal_workers,margin_of_error,share_of_employment
Alabama,1,AL–1*,5142,984,0.016
Alabama,2,AL–2*,11100,1587,0.037
Alabama,3,AL–3*,7906,1371,0.026
Alabama,4,AL–4*,5946,1078,0.02
Alabama,5,AL–5*,19484,2170,0.054
Alabama,6,AL–6*,5403,1133,0.016
Alabama,7,AL–7*,6610,1497,0.023
Alaska,0,AK–1,14947,2155,0.045
Arizona,1,AZ–1,4237,983,0.01
Arizona,2,AZ–2,11284,1868,0.036
Arizona,3,AZ–3,4590,1143,0.012
Arizona,4,AZ–4,4709,1349,0.011
Arizona,5,AZ–5,5311,1156,0.013
Arizona,6,AZ–6,10154,1806,0.03
Arizona,7,AZ–7,8627,1713,0.025
Arizona,8,AZ–8,5573,1378,0.016
Arizona,9,AZ–9,8998,1644,0.025
Arkansas,1,AR–1,5097,929,0.017
Arkansas,2,AR–2,6347,1374,0.018
Arkansas,3,AR–3,3557,872,0.009
Arkansas,4,AR–4,5026,1010,0.017
California,1,CA–1,6456,1113,0.021
California,2,CA–2,4475,1187,0.013
California,3,CA–3,3748,772,0.011
California,4,CA–4,4124,891,0.011
California,5,CA–5,4809,1223,0.014
California,6,CA–6,4718,991,0.014
California,7,CA–7,6141,1269,0.017
California,8,CA–8,6170,1078,0.017
California,9,CA–9,4916,1135,0.014
California,10,CA–10,4573,941,0.013
California,11,CA–11,5215,1140,0.013
California,12,CA–12,5047,842,0.013
California,13,CA–13,3258,985,0.011
California,14,CA–14,4271,919,0.012
California,15,CA–15,4689,1056,0.013
California,16,CA–16,3321,930,0.009
California,17,CA–17,3022,674,0.007
California,18,CA–18,3399,1080,0.01
California,19,CA–19,4937,969,0.014
California,20,CA–20,9060,1544,0.027
California,21,CA–21,4468,1298,0.015
California,22,CA–22,2601,716,0.009
California,23,CA–23,7843,1659,0.026
California,24,CA–24,5356,1076,0.016
California,25,CA–25,5306,1167,0.017
California,26,CA–26,6845,1435,0.02
California,27,CA–27,6274,1257,0.02
California,28,CA–28,4867,952,0.013
California,29,CA–29,3924,1085,0.011
California,30,CA–30,3585,1009,0.009
California,31,CA–31,2912,779,0.009
California,32,CA–32,2977,890,0.008
California,33,CA–33,3419,842,0.01
California,34,CA–34,2614,695,0.007
California,35,CA–35,2557,718,0.007
California,36,CA–36,3043,698,0.008
California,37,CA–37,5679,1214,0.016
California,38,CA–38,3378,856,0.01
