state_name,county_fips,geo_name,federal_workers,margin_of_error,share_of_employment
Alabama,1001,Autauga County,335,202,0.013
Alabama,1003,Baldwin County,1467,742,0.013
Alabama,1005,Barbour County,222,169,0.027
Alabama,1007,Bibb County,64,79,0.007
Alabama,1009,Blount County,230,176,0.009
Alabama,1015,Calhoun County,1060,440,0.022
Alabama,1017,Chambers County,153,224,0.013
Alabama,1019,Cherokee County,30,67,0.003
Alabama,1021,Chilton County,193,226,0.011
Alabama,1025,Clarke County,48,71,0.006
Alabama,1031,Coffee County,1812,525,0.082
Alabama,1033,Colbert County,553,354,0.023
Alabama,1039,Covington County,299,178,0.02
Alabama,1043,Cullman County,1050,378,0.026
Alabama,1045,Dale County,1397,452,0.08
Alabama,1047,Dallas County,51,65,0.004
Alabama,1049,DeKalb County,561,317,0.02
Alabama,1051,Elmore County,1881,762,0.049
Alabama,1053,Escambia County,42,54,0.003
Alabama,1055,Etowah County,816,421,0.021
Alabama,1059,Franklin County,284,224,0.023
Alabama,1061,Geneva County,320,215,0.03
Alabama,1069,Houston County,1045,345,0.022
Alabama,1071,Jackson County,773,468,0.035
Alabama,1073,Jefferson County,4922,1233,0.016
Alabama,1077,Lauderdale County,922,368,0.022
Alabama,1079,Lawrence County,228,149,0.015
Alabama,1081,Lee County,2024,735,0.025
Alabama,1083,Limestone County,3389,1180,0.067
Alabama,1089,Madison County,13657,1794,0.067
Alabama,1093,Marion County,93,90,0.009
Alabama,1095,Marshall County,1135,469,0.027
Alabama,1097,Mobile County,3273,794,0.018
Alabama,1101,Montgomery County,3869,1198,0.041
Alabama,1103,Morgan County,1006,500,0.018
Alabama,1109,Pike County,416,381,0.026
Alabama,1111,Randolph County,84,139,0.008
Alabama,1113,Russell County,1600,734,0.07
Alabama,1117,Shelby County,2354,747,0.021
Alabama,1115,St. Clair County,1026,498,0.024
Alabama,1121,Talladega County,1121,434,0.033
Alabama,1123,Tallapoosa County,124,178,0.007
Alabama,1125,Tuscaloosa County,3075,916,0.028
Alabama,1127,Walker County,161,193,0.006
Alabama,1133,Winston County,75,132,0.009
Alaska,2020,Anchorage Municipality,7819,1794,0.057
Alaska,2090,Fairbanks North Star Borough,1373,472,0.035
Alaska,2110,Juneau City and Borough,444,267,0.026
Alaska,2122,Kenai Peninsula Borough,409,181,0.016
Alaska,2170,Matanuska-Susitna Borough,2148,527,0.043
Arizona,4001,Apache County,2264,650,0.121
Arizona,4003,Cochise County,2375,631,0.06
Arizona,4005,Coconino County,2611,947,0.038
Arizona,4007,Gila County,832,414,0.047
Arizona,4009,Graham County,635,339,0.041
Arizona,4013,Maricopa County,28980,2891,0.013
Arizona,4015,Mohave County,1532,631,0.021
Arizona,4017,Navajo County,1853,532,0.054
Arizona,4019,Pima County,11954,1861,0.025
Arizona,4021,Pinal County,5119,1607,0.026
Arizona,4023,Santa Cruz County,635,370,0.035
Arizona,4025,Yavapai County,743,303,0.008
Arizona,4027,Yuma County,3372,997,0.047
Arkansas,5005,Baxter County,508,306,0.033
Arkansas,5007,Benton County,915,451,0.006
Arkansas,5009,Boone County,354,244,0.021
Arkansas,5015,Carroll County,316,320,0.026
Arkansas,5019,Clark County,116,161,0.012
Arkansas,5023,Cleburne County,56,74,0.006
Arkansas,5027,Columbia County,103,145,0.011
Arkansas,5029,Conway County,0,143,0
Arkansas,5031,Craighead County,460,285,0.009
Arkansas,5033,Crawford County,115,95,0.004
Arkansas,5035,Crittenden County,569,375,0.03
Arkansas,5045,Faulkner County,599,283,0.01
Arkansas,5051,Garland County,486,355,0.012
Arkansas,5055,Greene County,207,154,0.012
Arkansas,5059,Hot Spring County,100,107,0.008
Arkansas,5063,Independence County,148,164,0.008
Arkansas,5069,Jefferson County,268,209,0.011
Arkansas,5071,Johnson County,90,114,0.009
Arkansas,5083,Logan County,90,91,0.01
Arkansas,5085,Lonoke County,1240,523,0.038
Arkansas,5091,Miller County,667,367,0.04
Arkansas,5093,Mississippi County,226,224,0.014
Arkansas,5103,Ouachita County,217,143,0.025
Arkansas,5111,Poinsett County,122,118,0.013
Arkansas,5113,Polk County,392,303,0.046
Arkansas,5115,Pope County,171,150,0.006
Arkansas,5119,Pulaski County,4574,1030,0.026
Arkansas,5125,Saline County,841,478,0.014
Arkansas,5131,Sebastian County,567,307,0.01
Arkansas,5123,St. Francis County,67,89,0.01
Arkansas,5139,Union County,94,86,0.006
Arkansas,5143,Washington County,1452,547,0.011
Arkansas,5145,White County,538,428,0.017
Arkansas,5149,Yell County,159,182,0.019
California,6001,Alameda County,10301,1360,0.013
California,6005,Amador County,6,12,0
California,6007,Butte County,1194,473,0.013
California,6009,Calaveras County,164,193,0.008
California,6011,Colusa County,129,169,0.015
California,6013,Contra Costa County,7902,1210,0.014
California,6015,Del Norte County,285,204,0.025
California,6017,El Dorado County,1435,722,0.017
California,6019,Fresno County,7815,1694,0.019
California,6021,Glenn County,180,156,0.015
California,6023,Humboldt County,1614,736,0.028
California,6025,Imperial County,2094,945,0.034
California,6029,Kern County,7622,1349,0.021
California,6031,Kings County,869,460,0.017
California,6033,Lake County,215,154,0.008
California,6035,Lassen County,541,329,0.057
California,6037,Los Angeles County,53657,3485,0.011
California,6039,Madera County,538,412,0.009
California,6041,Marin County,1320,550,0.011
California,6045,Mendocino County,324,213,0.009
California,6047,Merced County,872,447,0.008
California,6053,Monterey County,3651,817,0.02
California,6055,Napa County,745,362,0.011
California,6057,Nevada County,251,230,0.006
California,6059,Orange County,15089,2127,0.01
California,6061,Placer County,2046,542,0.011
California,6065,Riverside County,13982,1699,0.013
California,6067,Sacramento County,11013,1698,0.015
California,6069,San Benito County,257,187,0.008
California,6071,San Bernardino County,13167,2006,0.014
California,6073,San Diego County,40585,3380,0.026
California,6075,San Francisco County,6253,1231,0.014
California,6077,San Joaquin County,5476,1147,0.015
California,6079,San Luis Obispo County,1038,390,0.008
California,6081,San Mateo County,4541,1047,0.012
California,6083,Santa Barbara County,3328,789,0.017
California,6085,Santa Clara County,7662,1316,0.008
California,6087,Santa Cruz County,1090,528,0.009
California,6089,Shasta County,1514,543,0.02
California,6093,Siskiyou County,752,243,0.045
California,6095,Solano County,3750,869,0.019
California,6097,Sonoma County,1960,665,0.008
California,6099,Stanislaus County,2365,867,0.01
California,6101,Sutter County,471,356,0.012
California,6103,Tehama County,547,316,0.021
California,6107,Tulare County,1653,432,0.009
California,6109,Tuolumne County,490,318,0.022
California,6111,Ventura County,8131,1578,0.021
California,6113,Yolo County,890,401,0.008
California,6115,Yuba County,959,506,0.029
Colorado,8001,Adams County,3912,1449,0.014
Colorado,8005,Arapahoe County,7446,1377,0.021
Colorado,8013,Boulder County,1843,560,0.011
Colorado,8014,Broomfield County,864,426,0.021
Colorado,8015,Chaffee County,80,102,0.008
Colorado,8029,Delta County,68,93,0.006
Colorado,8031,Denver County,7292,1268,0.017
Colorado,8035,Douglas County,3553,1105,0.017
Colorado,8037,Eagle County,232,252,0.007
Colorado,8041,El Paso County,14765,1820,0.043
Colorado,8039,Elbert County,36,56,0.003
Colorado,8043,Fremont County,459,309,0.028
Colorado,8045,Garfield County,340,355,0.011
Colorado,8059,Jefferson County,5558,883,0.018
Colorado,8067,La Plata County,565,369,0.019
Colorado,8069,Larimer County,3594,897,0.019
Colorado,8075,Logan County,68,112,0.008
Colorado,8077,Mesa County,1862,662,0.026
Colorado,8083,Montezuma County,1032,523,0.096
Colorado,8085,Montrose County,340,324,0.018
Colorado,8087,Morgan County,77,117,0.006
Colorado,8101,Pueblo County,1598,607,0.022
Colorado,8107,Routt County,55,113,0.003
Colorado,8117,Summit County,266,235,0.015
Colorado,8119,Teller County,444,359,0.036
