state_name,metro,geo_name,federal_workers,margin_of_error,share_of_employment
South Dakota,10100,"Aberdeen, SD",335,331,0.015263349735739019
Washington,10140,"Aberdeen, WA",585,404,0.01925355450236967
Texas,10180,"Abilene, TX",2049,906,0.02586859913140087
Oklahoma,10220,"Ada, OK",2791,632,0.15229728254938338
Michigan,10300,"Adrian, MI",974,541,0.021424015133185228
Puerto Rico,10380,"Aguadilla, PR",1175,687,0.013605048341341979
Ohio,10420,"Akron, OH",4815,1211,0.013411733247171419
New Mexico,10460,"Alamogordo, NM",1893,681,0.06691646929902081
NA,10480,"Alamosa, CO",397,302,0.030606738108087273
Georgia,10500,"Albany, GA",3283,1070,0.05470937208372217
Oregon,10540,"Albany, OR",869,603,0.014162089926826486
New York,10580,"Albany-Schenectady-Troy, NY",12721,2063,0.027822918420954783
North Carolina,10620,"Albemarle, NC",575,445,0.019525280994261266
Minnesota,10660,"Albert Lea, MN",187,176,0.011960345378957467
Alabama,10700,"Albertville, AL",1654,683,0.03731781056811516
New Mexico,10740,"Albuquerque, NM",29902,3304,0.06769048276611446
Alabama,10760,"Alexander City, AL",181,259,0.009693139827558508
Louisiana,10780,"Alexandria, LA",3087,938,0.05058665443104352
Minnesota,10820,"Alexandria, MN",133,106,0.006551078711456999
Texas,10860,"Alice, TX",96,129,0.005466659074084619
New Jersey,10900,"Allentown-Bethlehem-Easton, PA-NJ",5620,1260,0.012900797002974989
Pennsylvania,10900,"Allentown-Bethlehem-Easton, PA-NJ",5620,1260,0.012900797002974989
Michigan,10940,"Alma, MI",66,59,0.0036709494410145167
Michigan,10980,"Alpena, MI",502,436,0.04199079882894186
Pennsylvania,11020,"Altoona, PA",1388,493,0.02477244333392825
Oklahoma,11060,"Altus, OK",1377,499,0.12890844411158958
Texas,11100,"Amarillo, TX",7720,2384,0.056591602158104624
Georgia,11140,"Americus, GA",386,378,0.026489157287949493
Iowa,11180,"Ames, IA",1424,687,0.02116748175345235
NA,11200,"Amherst Town-Northampton, MA",1418,700,0.016566388223611193
New York,11220,"Amsterdam, NY",372,296,0.015151515151515152
Alaska,11260,"Anchorage, AK",14530,2716,0.07423074368681064
NA,11360,"Anderson Creek, NC",3141,979,0.05696099232903542
Indiana,11420,"Angola, IN",290,376,0.01642687209697519
Michigan,11460,"Ann Arbor, MI",2149,630,0.011388869751395123
Alabama,11500,"Anniston-Oxford, AL",1545,641,0.0312310491206792
Wisconsin,11540,"Appleton, WI",1617,561,0.01225185634186998
Florida,11580,"Arcadia, FL",95,147,0.006673222815397584
Oklahoma,11620,"Ardmore, OK",624,236,0.028623853211009173
Puerto Rico,11640,"Arecibo, PR",1079,910,0.018090064715152735
Arkansas,11660,"Arkadelphia, AR",169,234,0.017502071251035624
NA,11680,"Arkansas City-Winfield, KS",131,143,0.008427146992602124
North Carolina,11700,"Asheville, NC",4121,1101,0.02094099831801251
Ohio,11740,"Ashland, OH",88,106,0.0035604466742191294
Oregon,11820,"Astoria, OR",345,373,0.017741437827830917
Ohio,11900,"Athens, OH",541,518,0.01850015388298054
Tennessee,11940,"Athens, TN",753,518,0.02647120860577937
Texas,11980,"Athens, TX",555,419,0.014838778674937169
Georgia,12020,"Athens-Clarke County, GA",2640,789,0.02382133995037221
Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",78739,6499,0.024073521480555662
New Jersey,12100,"Atlantic City-Hammonton, NJ",3392,969,0.018878530680395158
Indiana,12140,"Auburn, IN",581,483,0.025795853127913687
New York,12180,"Auburn, NY",493,284,0.013875207565224734
Alabama,12220,"Auburn-Opelika, AL",3095,1105,0.03316474143288828
Georgia,12260,"Augusta-Richmond County, GA-SC",16824,2461,0.060286597842095266
South Carolina,12260,"Augusta-Richmond County, GA-SC",16824,2461,0.060286597842095266
Maine,12300,"Augusta-Waterville, ME",2473,1065,0.03991993413937271
Minnesota,12380,"Austin, MN",258,260,0.013255240443896425
Texas,12420,"Austin-Round Rock-San Marcos, TX",25530,3195,0.01847302670376226
Georgia,12460,"Bainbridge, GA",0,226,0
California,12540,"Bakersfield-Delano, CA",11111,1967,0.029247709223386584
Maryland,12580,"Baltimore-Columbia-Towson, MD",112325,5879,0.07717968626534832
Maine,12620,"Bangor, ME",1061,435,0.014115987919588095
Wisconsin,12660,"Baraboo, WI",371,153,0.010489708210812033
Massachusetts,12700,"Barnstable Town, MA",2682,1030,0.023606037935131805
Vermont,12740,"Barre, VT",785,468,0.024473126324978178
Oklahoma,12780,"Bartlesville, OK",916,515,0.04097883952936966
New York,12860,"Batavia, NY",916,431,0.03172733885213536
Arkansas,12900,"Batesville, AR",216,239,0.011760222137529265
Louisiana,12940,"Baton Rouge, LA",5370,1435,0.01323344587101703
Michigan,12980,"Battle Creek, MI",1667,575,0.027374090677701694
Michigan,13020,"Bay City, MI",627,269,0.013481261691285558
Texas,13060,"Bay City, TX",864,933,0.053201970443349754
