state_name,state_fips,geo_name,federal_workers,margin_of_error,share_of_employment
Alabama,1,Alabama,61590,3391,0.028
Alaska,2,Alaska,14947,2155,0.045
Arizona,4,Arizona,63485,4407,0.019
Arkansas,5,Arkansas,20028,2161,0.015
California,6,California,254311,8353,0.014
Colorado,8,Colorado,60251,4123,0.02
Connecticut,9,Connecticut,21861,2496,0.012
Delaware,10,Delaware,9143,1707,0.019
District of Columbia,11,District of Columbia,48859,3469,0.132
Florida,12,Florida,153468,6466,0.015
Georgia,13,Georgia,105912,5972,0.021
Hawaii,15,Hawaii,29217,2230,0.046
Idaho,16,Idaho,18452,2067,0.021
Illinois,17,Illinois,89277,5788,0.015
Indiana,18,Indiana,48078,3398,0.015
Iowa,19,Iowa,21747,1727,0.014
Kansas,20,Kansas,27970,2376,0.02
Kentucky,21,Kentucky,34595,2819,0.017
Louisiana,22,Louisiana,34469,2932,0.018
Maine,23,Maine,11945,1716,0.018
Maryland,24,Maryland,224229,8066,0.073
Massachusetts,25,Massachusetts,43713,2752,0.012
Michigan,26,Michigan,54058,3339,0.012
Minnesota,27,Minnesota,31493,2619,0.011
Mississippi,28,Mississippi,29908,2583,0.024
Missouri,29,Missouri,52586,3268,0.018
Montana,30,Montana,15275,1718,0.028
Nebraska,31,Nebraska,17391,1817,0.017
Nevada,32,Nevada,27622,2556,0.018
New Hampshire,33,New Hampshire,12989,1830,0.018
New Jersey,34,New Jersey,55919,3648,0.012
New Mexico,35,New Mexico,43992,2954,0.048
New York,36,New York,128682,6243,0.014
North Carolina,37,North Carolina,84454,4787,0.017
North Dakota,38,North Dakota,9106,1475,0.023
Ohio,39,Ohio,80652,3701,0.015
Oklahoma,40,Oklahoma,59821,2970,0.034
Oregon,41,Oregon,25183,2362,0.012
Pennsylvania,42,Pennsylvania,90048,4313,0.015
Puerto Rico,72,Puerto Rico,15751,2137,0.014
Rhode Island,44,Rhode Island,11880,2185,0.022
South Carolina,45,South Carolina,42928,3697,0.018
South Dakota,46,South Dakota,10401,1509,0.023
Tennessee,47,Tennessee,66289,4720,0.02
Texas,48,Texas,247738,9656,0.017
Utah,49,Utah,35010,2738,0.021
Vermont,50,Vermont,5499,960,0.017
Virginia,51,Virginia,234242,7105,0.056
Washington,53,Washington,77844,4824,0.021
West Virginia,54,West Virginia,22858,1695,0.031
Wisconsin,55,Wisconsin,28765,2506,0.01
Wyoming,56,Wyoming,8069,1484,0.029
