cbsa20,state,stab,CBSAName20,pop20,afact
10100,46,SD,"Aberdeen, SD",42287,1
10140,53,WA,"Aberdeen, WA",75636,1
10180,48,TX,"Abilene, TX",176579,1
10220,40,OK,"Ada, OK",38065,1
10300,26,MI,"Adrian, MI",99423,1
10380,72,PR,"Aguadilla-Isabela, PR",310160,1
10420,39,OH,"Akron, OH",702219,1
10460,35,NM,"Alamogordo, NM",67839,1
10500,13,GA,"Albany, GA",148922,1
10540,41,OR,"Albany-Lebanon, OR",128610,1
10580,36,NY,"Albany-Schenectady-Troy, NY",899262,1
10620,37,NC,"Albemarle, NC",62504,1
10660,27,MN,"Albert Lea, MN",30895,1
10700,1,AL,"Albertville, AL",97612,1
10740,35,NM,"Albuquerque, NM",916528,1
10760,1,AL,"Alexander City, AL",51698,1
10780,22,LA,"Alexandria, LA",152192,1
10820,27,MN,"Alexandria, MN",39006,1
10860,48,TX,"Alice, TX",48722,1
10900,34,NJ,"Allentown-Bethlehem-Easton, PA-NJ",109632,0.1272
10900,42,PA,"Allentown-Bethlehem-Easton, PA-NJ",752257,0.8728
10940,26,MI,"Alma, MI",41761,1
10980,26,MI,"Alpena, MI",28907,1
11020,42,PA,"Altoona, PA",122822,1
11060,40,OK,"Altus, OK",24785,1
11100,48,TX,"Amarillo, TX",268691,1
11140,13,GA,"Americus, GA",34163,1
11180,19,IA,"Ames, IA",125252,1
11220,36,NY,"Amsterdam, NY",49532,1
11260,2,AK,"Anchorage, AK",398328,1
11380,48,TX,"Andrews, TX",18610,1
11420,18,IN,"Angola, IN",34435,1
11460,26,MI,"Ann Arbor, MI",372258,1
11500,1,AL,"Anniston-Oxford, AL",116441,1
11540,55,WI,"Appleton, WI",243147,1
11580,12,FL,"Arcadia, FL",33976,1
11620,40,OK,"Ardmore, OK",58149,1
11640,72,PR,"Arecibo, PR",182705,1
11660,5,AR,"Arkadelphia, AR",21446,1
11700,37,NC,"Asheville, NC",469015,1
11740,39,OH,"Ashland, OH",52447,1
11780,39,OH,"Ashtabula, OH",97574,1
11820,41,OR,"Astoria, OR",41072,1
11860,20,KS,"Atchison, KS",16348,1
11900,39,OH,"Athens, OH",62431,1
11940,47,TN,"Athens, TN",53276,1
11980,48,TX,"Athens, TX",82150,1
12020,13,GA,"Athens-Clarke County, GA",215415,1
12060,13,GA,"Atlanta-Sandy Springs-Alpharetta, GA",6089815,1
12100,34,NJ,"Atlantic City-Hammonton, NJ",274534,1
12120,1,AL,"Atmore, AL",36757,1
12140,18,IN,"Auburn, IN",43265,1
12180,36,NY,"Auburn, NY",76248,1
12220,1,AL,"Auburn-Opelika, AL",174241,1
12260,13,GA,"Augusta-Richmond County, GA-SC",416535,0.6817
12260,45,SC,"Augusta-Richmond County, GA-SC",194465,0.3183
12300,23,ME,"Augusta-Waterville, ME",123642,1
12380,27,MN,"Austin, MN",40029,1
12420,48,TX,"Austin-Round Rock-Georgetown, TX",2283371,1
12460,13,GA,"Bainbridge, GA",29367,1
12540,6,CA,"Bakersfield, CA",909235,1
12580,24,MD,"Baltimore-Columbia-Towson, MD",2844510,1
12620,23,ME,"Bangor, ME",152199,1
12660,55,WI,"Baraboo, WI",65763,1
12680,21,KY,"Bardstown, KY",46738,1
12700,25,MA,"Barnstable Town, MA",228996,1
12740,50,VT,"Barre, VT",59807,1
12780,40,OK,"Bartlesville, OK",52455,1
12860,36,NY,"Batavia, NY",58388,1
12900,5,AR,"Batesville, AR",55209,1
12940,22,LA,"Baton Rouge, LA",870569,1
12980,26,MI,"Battle Creek, MI",134310,1
13020,26,MI,"Bay City, MI",103856,1
13060,48,TX,"Bay City, TX",36255,1
13100,31,NE,"Beatrice, NE",21704,1
13140,48,TX,"Beaumont-Port Arthur, TX",397565,1
13180,55,WI,"Beaver Dam, WI",89396,1
13220,54,WV,"Beckley, WV",115079,1
13260,18,IN,"Bedford, IN",45011,1
13300,48,TX,"Beeville, TX",31047,1
13340,39,OH,"Bellefontaine, OH",46150,1
13380,53,WA,"Bellingham, WA",226847,1
13420,27,MN,"Bemidji, MN",46228,1
13460,41,OR,"Bend, OR",198253,1
13500,45,SC,"Bennettsville, SC",26667,1
13540,50,VT,"Bennington, VT",37347,1
13620,33,NH,"Berlin, NH",31268,1
13660,26,MI,"Big Rapids, MI",39714,1
13700,48,TX,"Big Spring, TX",34860,1
13720,51,VA,"Big Stone Gap, VA",39817,1
13740,30,MT,"Billings, MT",184167,1
13780,36,NY,"Binghamton, NY",247138,1
13820,1,AL,"Birmingham-Hoover, AL",1115289,1
13900,38,ND,"Bismarck, ND",133626,1
13940,16,ID,"Blackfoot, ID",47992,1
13980,51,VA,"Blacksburg-Christiansburg, VA",166378,1
14010,17,IL,"Bloomington, IL",170954,1
14020,18,IN,"Bloomington, IN",161039,1
14100,42,PA,"Bloomsburg-Berwick, PA",82863,1
14140,51,VA,"Bluefield, WV-VA",46699,0.4391
14140,54,WV,"Bluefield, WV-VA",59664,0.5609
14160,18,IN,"Bluffton, IN",28180,1
14180,5,AR,"Blytheville, AR",40685,1
14220,22,LA,"Bogalusa, LA",45463,1
14260,16,ID,"Boise City, ID",764718,1
14300,48,TX,"Bonham, TX",35662,1
14380,37,NC,"Boone, NC",54086,1
14420,48,TX,"Borger, TX",20617,1
14460,25,MA,"Boston-Cambridge-Newton, MA-NH",4496567,0.9099
14460,33,NH,"Boston-Cambridge-Newton, MA-NH",445065,0.0901
14500,8,CO,"Boulder, CO",330758,1
14540,21,KY,"Bowling Green, KY",179639,1
14580,30,MT,"Bozeman, MT",118960,1
14620,42,PA,"Bradford, PA",40432,1
14660,27,MN,"Brainerd, MN",96189,1
14700,29,MO,"Branson, MO",56066,1
14720,8,CO,"Breckenridge, CO",31055,1
14740,53,WA,"Bremerton-Silverdale-Port Orchard, WA",275611,1
14780,48,TX,"Brenham, TX",35805,1
14820,37,NC,"Brevard, NC",32986,1
14860,9,CT,"Bridgeport-Stamford-Norwalk, CT",957419,1
15020,28,MS,"Brookhaven, MS",34907,1
15060,41,OR,"Brookings, OR",23446,1
15100,46,SD,"Brookings, SD",34375,1
15140,47,TN,"Brownsville, TN",17864,1
15180,48,TX,"Brownsville-Harlingen, TX",421017,1
15220,48,TX,"Brownwood, TX",38095,1
15260,13,GA,"Brunswick, GA",113495,1
15340,39,OH,"Bucyrus-Galion, OH",42025,1
15380,36,NY,"Buffalo-Cheektowaga, NY",1166902,1
15420,16,ID,"Burley, ID",46268,1
15460,17,IL,"Burlington, IA-IL",6387,0.141
15460,19,IA,"Burlington, IA-IL",38910,0.859
15500,37,NC,"Burlington, NC",171415,1
15540,50,VT,"Burlington-South Burlington, VT",225562,1
15580,30,MT,"Butte-Silver Bow, MT",35133,1
15620,26,MI,"Cadillac, MI",48725,1
15660,13,GA,"Calhoun, GA",57544,1
15680,24,MD,"California-Lexington Park, MD",113777,1
15700,24,MD,"Cambridge, MD",32531,1
15740,39,OH,"Cambridge, OH",38438,1
15780,5,AR,"Camden, AR",27389,1
15820,21,KY,"Campbellsville, KY",37130,1
15860,8,CO,"Ca�on City, CO",48939,1
15940,39,OH,"Canton-Massillon, OH",401574,1
15980,12,FL,"Cape Coral-Fort Myers, FL",760822,1
16020,17,IL,"Cape Girardeau, MO-IL",5240,0.0537
16020,29,MO,"Cape Girardeau, MO-IL",92277,0.9463
16060,17,IL,"Carbondale-Marion, IL",133435,1
16100,35,NM,"Carlsbad-Artesia, NM",62314,1
16140,19,IA,"Carroll, IA",20760,1
16180,32,NV,"Carson City, NV",58639,1
16220,56,WY,"Casper, WY",79955,1
16260,49,UT,"Cedar City, UT",57289,1
16300,19,IA,"Cedar Rapids, IA",276520,1
16340,13,GA,"Cedartown, GA",42853,1
16380,39,OH,"Celina, OH",42528,1
16420,21,KY,"Central City, KY",30928,1
16460,17,IL,"Centralia, IL",37729,1
16500,53,WA,"Centralia, WA",82149,1
16540,42,PA,"Chambersburg-Waynesboro, PA",155932,1
16580,17,IL,"Champaign-Urbana, IL",222538,1
16620,54,WV,"Charleston, WV",258859,1
16660,17,IL,"Charleston-Mattoon, IL",57313,1
16700,45,SC,"Charleston-North Charleston, SC",799636,1
16740,37,NC,"Charlotte-Concord-Gastonia, NC-SC",2249929,0.8457
16740,45,SC,"Charlotte-Concord-Gastonia, NC-SC",410400,0.1543
16820,51,VA,"Charlottesville, VA",221524,1
16860,13,GA,"Chattanooga, TN-GA",151777,0.2698
16860,47,TN,"Chattanooga, TN-GA",410870,0.7302
16940,56,WY,"Cheyenne, WY",100512,1
16980,17,IL,"Chicago-Naperville-Elgin, IL-IN-WI",8730688,0.9077
16980,18,IN,"Chicago-Naperville-Elgin, IL-IN-WI",718663,0.0747
16980,55,WI,"Chicago-Naperville-Elgin, IL-IN-WI",169151,0.0176
17020,6,CA,"Chico, CA",211632,1
17060,39,OH,"Chillicothe, OH",77093,1
17140,18,IN,"Cincinnati, OH-KY-IN",86491,0.0383
17140,21,KY,"Cincinnati, OH-KY-IN",454783,0.2015
17140,39,OH,"Cincinnati, OH-KY-IN",1715610,0.7602
17220,54,WV,"Clarksburg, WV",90434,1
17260,28,MS,"Clarksdale, MS",21390,1
17300,21,KY,"Clarksville, TN-KY",86809,0.2708
17300,47,TN,"Clarksville, TN-KY",233726,0.7292
17340,6,CA,"Clearlake, CA",68163,1
17380,28,MS,"Cleveland, MS",30985,1
17420,47,TN,"Cleveland, TN",126164,1
17460,39,OH,"Cleveland-Elyria, OH",2088251,1
17500,12,FL,"Clewiston, FL",39619,1
17540,19,IA,"Clinton, IA",46460,1
17580,35,NM,"Clovis, NM",48430,1
17620,72,PR,"Coamo, PR",34668,1
17640,72,PR,"Coco, PR",25789,1
17660,16,ID,"Coeur dAlene, ID",171362,1
17700,20,KS,"Coffeyville, KS",31486,1
17740,26,MI,"Coldwater, MI",44862,1
17780,48,TX,"College Station-Bryan, TX",268248,1
17820,8,CO,"Colorado Springs, CO",755105,1
17860,29,MO,"Columbia, MO",210864,1
17900,45,SC,"Columbia, SC",829470,1
17980,1,AL,"Columbus, GA-AL",59183,0.18
17980,13,GA,"Columbus, GA-AL",269700,0.82
18020,18,IN,"Columbus, IN",82208,1
18060,28,MS,"Columbus, MS",58879,1
18100,31,NE,"Columbus, NE",34296,1
18140,39,OH,"Columbus, OH",2138926,1
18180,33,NH,"Concord, NH",153808,1
18220,18,IN,"Connersville, IN",23398,1
18260,47,TN,"Cookeville, TN",113982,1
18300,41,OR,"Coos Bay, OR",64929,1
18380,13,GA,"Cordele, GA",20128,1
18420,28,MS,"Corinth, MS",34740,1
18460,13,GA,"Cornelia, GA",46031,1
18500,36,NY,"Corning, NY",93584,1
18580,48,TX,"Corpus Christi, TX",421933,1
18620,48,TX,"Corsicana, TX",52624,1
18660,36,NY,"Cortland, NY",46809,1
18700,41,OR,"Corvallis, OR",95184,1
18740,39,OH,"Coshocton, OH",36612,1
18780,8,CO,"Craig, CO",13292,1
18820,18,IN,"Crawfordsville, IN",37936,1
18860,6,CA,"Crescent City, CA",27743,1
18880,12,FL,"Crestview-Fort Walton Beach-Destin, FL",286973,1
18900,47,TN,"Crossville, TN",61145,1
18980,1,AL,"Cullman, AL",87866,1
19000,37,NC,"Cullowhee, NC",57226,1
19060,24,MD,"Cumberland, MD-WV",68106,0.7166
19060,54,WV,"Cumberland, MD-WV",26938,0.2834
19100,48,TX,"Dallas-Fort Worth-Arlington, TX",7637387,1
19140,13,GA,"Dalton, GA",142837,1
19180,17,IL,"Danville, IL",74188,1
19220,21,KY,"Danville, KY",54889,1
19260,51,VA,"Danville, VA",103091,1
19300,1,AL,"Daphne-Fairhope-Foley, AL",231767,1
19340,17,IL,"Davenport-Moline-Rock Island, IA-IL",209655,0.5455
19340,19,IA,"Davenport-Moline-Rock Island, IA-IL",174669,0.4545
19420,47,TN,"Dayton, TN",32870,1
19430,39,OH,"Dayton-Kettering, OH",814049,1
19460,1,AL,"Decatur, AL",156494,1
19500,17,IL,"Decatur, IL",103998,1
19540,18,IN,"Decatur, IN",35809,1
19580,39,OH,"Defiance, OH",38286,1
19620,48,TX,"Del Rio, TX",47586,1
19660,12,FL,"Deltona-Daytona Beach-Ormond Beach, FL",668921,1
19700,35,NM,"Deming, NM",25427,1
19740,8,CO,"Denver-Aurora-Lakewood, CO",2963821,1
19760,22,LA,"DeRidder, LA",36549,1
19780,19,IA,"Des Moines-West Des Moines, IA",709466,1
19820,26,MI,"Detroit-Warren-Dearborn, MI",4392041,1
19860,38,ND,"Dickinson, ND",34591,1
19940,17,IL,"Dixon, IL",34145,1
19980,20,KS,"Dodge City, KS",34287,1
20020,1,AL,"Dothan, AL",151007,1
20060,13,GA,"Douglas, GA",51378,1
20100,10,DE,"Dover, DE",181851,1
20140,13,GA,"Dublin, GA",65165,1
20180,42,PA,"DuBois, PA",80562,1
20220,19,IA,"Dubuque, IA",99266,1
20260,27,MN,"Duluth, MN-WI",247343,0.8481
20260,55,WI,"Duluth, MN-WI",44295,0.1519
20300,48,TX,"Dumas, TX",21358,1
20340,40,OK,"Duncan, OK",42848,1
20420,8,CO,"Durango, CO",55638,1
20460,40,OK,"Durant, OK",46067,1
20500,37,NC,"Durham-Chapel Hill, NC",649903,1
20540,47,TN,"Dyersburg, TN",36801,1
20580,48,TX,"Eagle Pass, TX",57887,1
20660,24,MD,"Easton, MD",37526,1
20700,42,PA,"East Stroudsburg, PA",168327,1
20740,55,WI,"Eau Claire, WI",172007,1
20780,8,CO,"Edwards, CO",55731,1
20820,17,IL,"Effingham, IL",34668,1
20900,48,TX,"El Campo, TX",41570,1
20940,6,CA,"El Centro, CA",179702,1
20980,5,AR,"El Dorado, AR",39054,1
21020,37,NC,"Elizabeth City, NC",53573,1
21060,21,KY,"Elizabethtown-Fort Knox, KY",155572,1
21120,40,OK,"Elk City, OK",22410,1
21140,18,IN,"Elkhart-Goshen, IN",207047,1
21180,54,WV,"Elkins, WV",27932,1
21220,32,NV,"Elko, NV",55557,1
21260,53,WA,"Ellensburg, WA",44337,1
21300,36,NY,"Elmira, NY",84148,1
21340,48,TX,"El Paso, TX",868859,1
21380,20,KS,"Emporia, KS",34751,1
21420,40,OK,"Enid, OK",62846,1
21460,1,AL,"Enterprise, AL",53465,1
21500,42,PA,"Erie, PA",270876,1
21540,26,MI,"Escanaba, MI",36903,1
21580,35,NM,"Espa�ola, NM",40363,1
21640,1,AL,"Eufaula, AL-GA",25223,0.9186
21640,13,GA,"Eufaula, AL-GA",2235,0.0814
21660,41,OR,"Eugene-Springfield, OR",382971,1
21700,6,CA,"Eureka-Arcata, CA",136463,1
21740,56,WY,"Evanston, WY",20450,1
21780,18,IN,"Evansville, IN-KY",269256,0.8574
21780,21,KY,"Evansville, IN-KY",44793,0.1426
21820,2,AK,"Fairbanks, AK",95655,1
21840,19,IA,"Fairfield, IA",15663,1
21860,27,MN,"Fairmont, MN",20025,1
21900,54,WV,"Fairmont, WV",56205,1
21980,32,NV,"Fallon, NV",25516,1
22020,27,MN,"Fargo, ND-MN",65318,0.2614
22020,38,ND,"Fargo, ND-MN",184525,0.7386
22060,27,MN,"Faribault-Northfield, MN",67097,1
22100,29,MO,"Farmington, MO",66922,1
22140,35,NM,"Farmington, NM",121661,1
22180,37,NC,"Fayetteville, NC",520378,1
22220,5,AR,"Fayetteville-Springdale-Rogers, AR",546725,1
22260,27,MN,"Fergus Falls, MN",60081,1
22280,32,NV,"Fernley, NV",59235,1
22300,39,OH,"Findlay, OH",74920,1
22340,13,GA,"Fitzgerald, GA",17194,1
22380,4,AZ,"Flagstaff, AZ",145101,1
22420,26,MI,"Flint, MI",406211,1
22500,45,SC,"Florence, SC",199964,1
