state_name,metro,geo_name,federal_workers,margin_of_error,share_of_employment
South Dakota,10100,"Aberdeen, SD",230,227,0.011
Washington,10140,"Aberdeen, WA",401,277,0.014
Texas,10180,"Abilene, TX",1406,621,0.018
Oklahoma,10220,"Ada, OK",1915,434,0.109
Michigan,10300,"Adrian, MI",668,371,0.015
Puerto Rico,10380,"Aguadilla, PR",806,471,0.01
Ohio,10420,"Akron, OH",3303,831,0.01
New Mexico,10460,"Alamogordo, NM",1299,467,0.048
NA,10480,"Alamosa, CO",272,207,0.022
Georgia,10500,"Albany, GA",2252,734,0.039
Oregon,10540,"Albany, OR",596,414,0.01
New York,10580,"Albany-Schenectady-Troy, NY",8726,1415,0.02
North Carolina,10620,"Albemarle, NC",394,305,0.014
Minnesota,10660,"Albert Lea, MN",128,121,0.009
Alabama,10700,"Albertville, AL",1135,469,0.027
New Mexico,10740,"Albuquerque, NM",20512,2266,0.048
Alabama,10760,"Alexander City, AL",124,178,0.007
Louisiana,10780,"Alexandria, LA",2118,643,0.036
Minnesota,10820,"Alexandria, MN",91,73,0.005
Texas,10860,"Alice, TX",66,88,0.004
New Jersey,10900,"Allentown-Bethlehem-Easton, PA-NJ",3855,864,0.009
Pennsylvania,10900,"Allentown-Bethlehem-Easton, PA-NJ",3855,864,0.009
Michigan,10940,"Alma, MI",45,40,0.003
Michigan,10980,"Alpena, MI",344,299,0.03
Pennsylvania,11020,"Altoona, PA",952,338,0.018
Oklahoma,11060,"Altus, OK",945,342,0.092
Texas,11100,"Amarillo, TX",5296,1635,0.04
Georgia,11140,"Americus, GA",265,259,0.019
Iowa,11180,"Ames, IA",977,471,0.015
NA,11200,"Amherst Town-Northampton, MA",973,480,0.012
New York,11220,"Amsterdam, NY",255,203,0.011
Alaska,11260,"Anchorage, AK",9967,1863,0.053
NA,11360,"Anderson Creek, NC",2155,672,0.041
Indiana,11420,"Angola, IN",199,258,0.012
Michigan,11460,"Ann Arbor, MI",1474,432,0.008
Alabama,11500,"Anniston-Oxford, AL",1060,440,0.022
Wisconsin,11540,"Appleton, WI",1109,385,0.009
Florida,11580,"Arcadia, FL",65,101,0.005
Oklahoma,11620,"Ardmore, OK",428,162,0.02
Puerto Rico,11640,"Arecibo, PR",740,624,0.013
Arkansas,11660,"Arkadelphia, AR",116,161,0.012
NA,11680,"Arkansas City-Winfield, KS",90,98,0.006
North Carolina,11700,"Asheville, NC",2827,755,0.015
Ohio,11740,"Ashland, OH",60,73,0.003
Oregon,11820,"Astoria, OR",237,256,0.013
Ohio,11900,"Athens, OH",371,355,0.013
Tennessee,11940,"Athens, TN",517,355,0.019
Texas,11980,"Athens, TX",381,287,0.011
Georgia,12020,"Athens-Clarke County, GA",1811,541,0.017
Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",54012,4458,0.017
New Jersey,12100,"Atlantic City-Hammonton, NJ",2327,665,0.013
Indiana,12140,"Auburn, IN",399,331,0.018
New York,12180,"Auburn, NY",338,195,0.01
Alabama,12220,"Auburn-Opelika, AL",2123,758,0.024
Georgia,12260,"Augusta-Richmond County, GA-SC",11541,1688,0.043
South Carolina,12260,"Augusta-Richmond County, GA-SC",11541,1688,0.043
Maine,12300,"Augusta-Waterville, ME",1696,731,0.028
Minnesota,12380,"Austin, MN",177,178,0.009
Texas,12420,"Austin-Round Rock-San Marcos, TX",17513,2192,0.013
Georgia,12460,"Bainbridge, GA",0,155,0
California,12540,"Bakersfield-Delano, CA",7622,1349,0.021
Maryland,12580,"Baltimore-Columbia-Towson, MD",77051,4033,0.055
Maine,12620,"Bangor, ME",728,298,0.01
Wisconsin,12660,"Baraboo, WI",254,105,0.007
Massachusetts,12700,"Barnstable Town, MA",1840,707,0.017
Vermont,12740,"Barre, VT",538,321,0.017
Oklahoma,12780,"Bartlesville, OK",628,353,0.029
New York,12860,"Batavia, NY",628,296,0.023
Arkansas,12900,"Batesville, AR",148,164,0.008
Louisiana,12940,"Baton Rouge, LA",3684,984,0.009
Michigan,12980,"Battle Creek, MI",1144,394,0.02
Michigan,13020,"Bay City, MI",430,185,0.01
Texas,13060,"Bay City, TX",593,640,0.038
Nebraska,13100,"Beatrice, NE",126,116,0.012
Texas,13140,"Beaumont-Port Arthur, TX",2060,840,0.013
Wisconsin,13180,"Beaver Dam, WI",466,314,0.011
West Virginia,13220,"Beckley, WV",1672,667,0.04
Indiana,13260,"Bedford, IN",946,366,0.044
Texas,13300,"Beeville, TX",178,189,0.017
Ohio,13340,"Bellefontaine, OH",127,130,0.006
Washington,13380,"Bellingham, WA",1886,606,0.017
Minnesota,13420,"Bemidji, MN",600,263,0.028
Oregon,13460,"Bend, OR",1529,641,0.012
Vermont,13540,"Bennington, VT",199,157,0.012
